"PUPIL","ACT","OBSERVED","ORDERED","EXPECTATION","VARIANCE","ZSCORE","RESIDUAL","PERSON.MEASURE","ITEM.MEASURE","MEASURE.DIFFERENCE","LOG.PROBABILITY.","PREDICTED.PERSON.MEASURE","PREDICTED.ITEM.MEASURE","KURTOSIS","MORE.PROBABLE.RESPONSE","RESPONSE.WEIGHT","CODE","PERSON.LABEL","ITEM.LABEL"
1,23,0,0,0.34,0.301,-0.619,-0.34,0.493,1.947,-1.454,-0.359,0.154,2.285,0.349,0,1,0,"ROSSNER, MARC DANIEL","WATCH A RAT"
1,24,2,2,1.415,0.446,0.877,0.585,0.493,-0.32,0.813,-0.662,1.496,-1.324,0.478,2,1,2,"ROSSNER, MARC DANIEL","FIND OUT WHAT FLOWERS LIVE ON"
1,25,0,0,1.034,0.47,-1.507,-1.034,0.493,0.421,0.071,-1.519,-1.614,2.528,0.47,1,1,0,"ROSSNER, MARC DANIEL","TALK W/FRIENDS ABOUT PLANTS"
2,1,2,2,1.995,0.005,0.073,0.005,5.983,-0.892,6.875,-0.005,1.879,3.213,0.005,2,1,2,"ROSSNER, LAWRENCE F.","WATCH BIRDS"
2,2,2,2,1.998,0.002,0.043,0.002,5.983,-0.611,6.594,-0.002,1.065,4.308,0.002,2,1,2,"ROSSNER, LAWRENCE F.","READ BOOKS ON ANIMALS"
2,3,2,2,1.99,0.01,0.101,0.01,5.983,0.279,5.704,-0.01,2.577,3.685,0.01,2,1,2,"ROSSNER, LAWRENCE F.","READ BOOKS ON PLANTS"
2,4,2,2,1.946,0.051,0.238,0.054,5.983,1.802,4.181,-0.055,4.26,3.525,0.046,2,1,2,"ROSSNER, LAWRENCE F.","WATCH GRASS CHANGE"
2,5,2,2,1.962,0.037,0.196,0.038,5.983,2.189,3.794,-0.038,4.02,4.151,0.039,2,1,2,"ROSSNER, LAWRENCE F.","FIND BOTTLES AND CANS"
2,6,2,2,1.991,0.009,0.094,0.009,5.983,0.164,5.819,-0.009,2.433,3.714,0.009,2,1,2,"ROSSNER, LAWRENCE F.","LOOK UP STRANGE ANIMAL OR PLANT"
2,7,2,2,1.984,0.015,0.125,0.016,5.983,0.994,4.989,-0.016,3.05,3.926,0.015,2,1,2,"ROSSNER, LAWRENCE F.","WATCH ANIMAL MOVE"
2,8,2,2,1.962,0.037,0.198,0.038,5.983,1.641,4.342,-0.039,3.923,3.701,0.035,2,1,2,"ROSSNER, LAWRENCE F.","LOOK IN SIDEWALK CRACKS"
2,9,2,2,1.991,0.008,0.092,0.009,5.983,0.6,5.383,-0.009,2.492,4.091,0.009,2,1,2,"ROSSNER, LAWRENCE F.","LEARN WEED NAMES"
2,10,2,2,1.999,0.001,0.035,0.001,5.983,-1.57,7.553,-0.001,0.473,3.94,0.001,2,1,2,"ROSSNER, LAWRENCE F.","LISTEN TO BIRD SING"
2,11,2,2,1.998,0.002,0.05,0.002,5.983,-1.372,7.355,-0.002,1.135,3.476,0.002,2,1,2,"ROSSNER, LAWRENCE F.","FIND WHERE ANIMAL LIVES"
2,12,2,2,1.999,0.001,0.028,0.001,5.983,-1.139,7.122,-0.001,-0.041,4.884,0.001,2,1,2,"ROSSNER, LAWRENCE F.","GO TO MUSEUM"
2,13,2,2,1.999,0.001,0.026,0.001,5.983,-0.896,6.879,-0.001,0.437,4.65,0.001,2,1,2,"ROSSNER, LAWRENCE F.","GROW GARDEN"
2,14,2,2,1.991,0.009,0.096,0.009,5.983,0.294,5.689,-0.009,2.489,3.788,0.009,2,1,2,"ROSSNER, LAWRENCE F.","LOOK AT PICTURES OF PLANTS"
2,15,2,2,1.997,0.003,0.056,0.003,5.983,-0.559,6.542,-0.003,1.448,3.976,0.003,2,1,2,"ROSSNER, LAWRENCE F.","READ ANIMAL STORIES"
2,16,2,2,1.986,0.014,0.12,0.014,5.983,0.468,5.515,-0.014,2.899,3.553,0.014,2,1,2,"ROSSNER, LAWRENCE F.","MAKE A MAP"
2,17,2,2,1.994,0.006,0.08,0.006,5.983,0.045,5.938,-0.006,2.142,3.887,0.006,2,1,2,"ROSSNER, LAWRENCE F.","WATCH WHAT ANIMALS EAT"
2,18,2,2,2,0,0.012,0,5.983,-2.256,8.239,0,-0.979,4.706,0,2,1,2,"ROSSNER, LAWRENCE F.","GO ON PICNIC"
2,19,2,2,2,0,0.019,0,5.983,-2.161,8.144,0,-0.502,4.325,0,2,1,2,"ROSSNER, LAWRENCE F.","GO TO ZOO"
2,20,2,2,1.965,0.034,0.19,0.035,5.983,1.747,4.236,-0.036,3.866,3.864,0.033,2,1,2,"ROSSNER, LAWRENCE F.","WATCH BUGS"
2,21,2,2,1.998,0.002,0.043,0.002,5.983,-0.804,6.787,-0.002,0.997,4.182,0.002,2,1,2,"ROSSNER, LAWRENCE F.","WATCH BIRD MAKE NEST"
2,22,2,2,1.995,0.005,0.074,0.005,5.983,-0.009,5.992,-0.005,2.003,3.97,0.005,2,1,2,"ROSSNER, LAWRENCE F.","FIND OUT WHAT ANIMALS EAT"
2,23,2,2,1.972,0.028,0.169,0.028,5.983,1.947,4.036,-0.028,3.739,4.191,0.029,2,1,2,"ROSSNER, LAWRENCE F.","WATCH A RAT"
2,24,2,2,1.997,0.003,0.055,0.003,5.983,-0.32,6.303,-0.003,1.496,4.166,0.003,2,1,2,"ROSSNER, LAWRENCE F.","FIND OUT WHAT FLOWERS LIVE ON"
2,25,2,2,1.991,0.009,0.093,0.009,5.983,0.421,5.562,-0.009,2.457,3.948,0.009,2,1,2,"ROSSNER, LAWRENCE F.","TALK W/FRIENDS ABOUT PLANTS"
3,1,2,2,1.54,0.274,0.879,0.46,0.992,-0.892,1.884,-0.593,1.879,-1.778,0.133,2,1,2,"ROSSNER, TOBY G.","WATCH BIRDS"
3,2,2,2,1.732,0.258,0.528,0.268,0.992,-0.611,1.603,-0.271,1.065,-0.683,0.341,2,1,2,"ROSSNER, TOBY G.","READ BOOKS ON ANIMALS"
3,3,1,1,1.276,0.374,-0.451,-0.276,0.992,0.279,0.714,-0.599,0.279,0.992,0.334,1,1,1,"ROSSNER, TOBY G.","READ BOOKS ON PLANTS"
3,4,1,1,0.718,0.342,0.483,0.282,0.992,1.802,-0.81,-0.547,1.802,0.992,0.285,1,1,1,"ROSSNER, TOBY G.","WATCH GRASS CHANGE"
3,5,0,0,0.435,0.359,-0.725,-0.435,0.992,2.189,-1.196,-0.475,0.357,2.824,0.396,0,1,0,"ROSSNER, TOBY G.","FIND BOTTLES AND CANS"
3,6,1,1,1.325,0.372,-0.532,-0.325,0.992,0.164,0.829,-0.649,0.164,0.992,0.325,1,1,1,"ROSSNER, TOBY G.","LOOK UP STRANGE ANIMAL OR PLANT"
3,7,1,1,0.999,0.464,0.001,0.001,0.992,0.994,-0.002,-0.624,0.994,0.992,0.464,1,1,1,"ROSSNER, TOBY G.","WATCH ANIMAL MOVE"
3,8,0,0,0.746,0.381,-1.208,-0.746,0.992,1.641,-0.649,-1.049,-0.641,3.274,0.347,1,1,0,"ROSSNER, TOBY G.","LOOK IN SIDEWALK CRACKS"
3,9,1,1,1.201,0.497,-0.285,-0.201,0.992,0.6,0.393,-0.77,0.6,0.992,0.501,1,1,1,"ROSSNER, TOBY G.","LEARN WEED NAMES"
3,10,2,2,1.842,0.143,0.418,0.158,0.992,-1.57,2.562,-0.166,0.473,-1.051,0.133,2,1,2,"ROSSNER, TOBY G.","LISTEN TO BIRD SING"
3,11,2,2,1.721,0.214,0.604,0.279,0.992,-1.372,2.364,-0.319,1.135,-1.515,0.133,2,1,2,"ROSSNER, TOBY G.","FIND WHERE ANIMAL LIVES"
3,12,2,2,1.894,0.095,0.344,0.106,0.992,-1.139,2.131,-0.112,-0.041,-0.106,0.068,2,1,2,"ROSSNER, TOBY G.","GO TO MUSEUM"
3,13,2,2,1.872,0.153,0.329,0.128,0.992,-0.896,1.888,-0.114,0.437,-0.341,0.301,2,1,2,"ROSSNER, TOBY G.","GROW GARDEN"
3,14,1,1,1.289,0.395,-0.459,-0.289,0.992,0.294,0.699,-0.651,0.294,0.992,0.364,1,1,1,"ROSSNER, TOBY G.","LOOK AT PICTURES OF PLANTS"
3,15,2,2,1.635,0.292,0.676,0.365,0.992,-0.559,1.551,-0.408,1.448,-1.015,0.275,2,1,2,"ROSSNER, TOBY G.","READ ANIMAL STORIES"
3,16,2,2,1.187,0.354,1.366,0.813,0.992,0.468,0.524,-1.245,2.899,-1.438,0.327,1,1,2,"ROSSNER, TOBY G.","MAKE A MAP"
3,17,1,1,1.406,0.385,-0.654,-0.406,0.992,0.045,0.947,-0.799,0.045,0.992,0.353,2,1,1,"ROSSNER, TOBY G.","WATCH WHAT ANIMALS EAT"
3,18,2,2,1.976,0.026,0.147,0.024,0.992,-2.256,3.248,-0.022,-0.979,-0.285,0.041,2,1,2,"ROSSNER, TOBY G.","GO ON PICNIC"
3,19,2,2,1.944,0.057,0.236,0.056,0.992,-2.161,3.153,-0.056,-0.502,-0.666,0.067,2,1,2,"ROSSNER, TOBY G.","GO TO ZOO"
3,20,1,1,0.675,0.404,0.512,0.325,0.992,1.747,-0.754,-0.713,1.747,0.992,0.377,1,1,1,"ROSSNER, TOBY G.","WATCH BUGS"
3,21,2,2,1.749,0.23,0.523,0.251,0.992,-0.804,1.796,-0.261,0.997,-0.809,0.267,2,1,2,"ROSSNER, TOBY G.","WATCH BIRD MAKE NEST"
3,22,1,1,1.447,0.386,-0.718,-0.447,0.992,-0.009,1.002,-0.882,-0.009,0.992,0.37,2,1,1,"ROSSNER, TOBY G.","FIND OUT WHAT ANIMALS EAT"
3,23,1,1,0.519,0.417,0.745,0.481,0.992,1.947,-0.954,-1.047,1.947,0.992,0.463,0,1,1,"ROSSNER, TOBY G.","WATCH A RAT"
3,24,1,1,1.609,0.333,-1.056,-0.609,0.992,-0.32,1.313,-1.219,-0.32,0.992,0.375,2,1,1,"ROSSNER, TOBY G.","FIND OUT WHAT FLOWERS LIVE ON"
3,25,1,1,1.263,0.44,-0.396,-0.263,0.992,0.421,0.571,-0.712,0.421,0.992,0.43,1,1,1,"ROSSNER, TOBY G.","TALK W/FRIENDS ABOUT PLANTS"
4,1,1,1,1.294,0.293,-0.543,-0.294,0.14,-0.892,1.032,-0.477,-0.892,0.14,0.208,1,1,1,"ROSSNER, MICHAEL T.","WATCH BIRDS"
4,2,0,0,1.419,0.483,-2.04,-1.419,0.14,-0.611,0.751,-2.12,-2.286,1.815,0.558,2,1,0,"ROSSNER, MICHAEL T.","READ BOOKS ON ANIMALS"
4,3,1,1,0.946,0.393,0.087,0.054,0.14,0.279,-0.139,-0.504,0.279,0.14,0.391,1,1,1,"ROSSNER, MICHAEL T.","READ BOOKS ON PLANTS"
4,4,0,0,0.445,0.288,-0.829,-0.445,0.14,1.802,-1.662,-0.552,-0.656,2.598,0.182,0,1,0,"ROSSNER, MICHAEL T.","WATCH GRASS CHANGE"
4,5,0,0,0.205,0.19,-0.47,-0.205,0.14,2.189,-2.049,-0.212,0.357,1.972,0.212,0,1,0,"ROSSNER, MICHAEL T.","FIND BOTTLES AND CANS"
4,6,1,1,0.991,0.401,0.015,0.009,0.14,0.164,-0.024,-0.513,0.164,0.14,0.401,1,1,1,"ROSSNER, MICHAEL T.","LOOK UP STRANGE ANIMAL OR PLANT"
4,7,0,0,0.622,0.403,-0.98,-0.622,0.14,0.994,-0.854,-0.772,-1.063,2.196,0.381,0,1,0,"ROSSNER, MICHAEL T.","WATCH ANIMAL MOVE"
4,8,1,1,0.449,0.305,0.998,0.551,0.14,1.641,-1.501,-0.938,1.641,0.14,0.226,0,1,1,"ROSSNER, MICHAEL T.","LOOK IN SIDEWALK CRACKS"
4,9,2,2,0.766,0.489,1.764,1.234,0.14,0.6,-0.46,-1.864,2.492,-1.752,0.494,1,1,2,"ROSSNER, MICHAEL T.","LEARN WEED NAMES"
4,10,2,2,1.67,0.266,0.639,0.33,0.14,-1.57,1.71,-0.367,0.473,-1.903,0.242,2,1,2,"ROSSNER, MICHAEL T.","LISTEN TO BIRD SING"
4,11,1,1,1.499,0.301,-0.909,-0.499,0.14,-1.372,1.512,-0.798,-1.372,0.14,0.189,2,1,1,"ROSSNER, MICHAEL T.","FIND WHERE ANIMAL LIVES"
4,12,2,2,1.782,0.17,0.528,0.218,0.14,-1.139,1.279,-0.246,-0.041,-0.959,0.083,2,1,2,"ROSSNER, MICHAEL T.","GO TO MUSEUM"
4,13,2,2,1.644,0.415,0.552,0.356,0.14,-0.896,1.036,-0.305,0.437,-1.193,0.72,2,1,2,"ROSSNER, MICHAEL T.","GROW GARDEN"
4,14,1,1,0.935,0.421,0.1,0.065,0.14,0.294,-0.154,-0.554,0.294,0.14,0.419,1,1,1,"ROSSNER, MICHAEL T.","LOOK AT PICTURES OF PLANTS"
4,15,1,1,1.324,0.432,-0.493,-0.324,0.14,-0.559,0.699,-0.769,-0.559,0.14,0.422,1,1,1,"ROSSNER, MICHAEL T.","READ ANIMAL STORIES"
4,16,1,1,0.883,0.357,0.197,0.117,0.14,0.468,-0.328,-0.463,0.468,0.14,0.345,1,1,1,"ROSSNER, MICHAEL T.","MAKE A MAP"
4,17,1,1,1.043,0.451,-0.064,-0.043,0.14,0.045,0.095,-0.603,0.045,0.14,0.451,1,1,1,"ROSSNER, MICHAEL T.","WATCH WHAT ANIMALS EAT"
4,18,2,2,1.937,0.074,0.23,0.063,0.14,-2.256,2.396,-0.056,-0.979,-1.137,0.147,2,1,2,"ROSSNER, MICHAEL T.","GO ON PICNIC"
4,19,2,2,1.868,0.132,0.364,0.132,0.14,-2.161,2.3,-0.132,-0.502,-1.518,0.172,2,1,2,"ROSSNER, MICHAEL T.","GO TO ZOO"
4,20,0,0,0.377,0.287,-0.704,-0.377,0.14,1.747,-1.607,-0.432,-0.373,2.259,0.243,0,1,0,"ROSSNER, MICHAEL T.","WATCH BUGS"
4,21,2,2,1.475,0.419,0.811,0.525,0.14,-0.804,0.944,-0.581,0.997,-1.661,0.461,2,1,2,"ROSSNER, MICHAEL T.","WATCH BIRD MAKE NEST"
4,22,1,1,1.071,0.476,-0.103,-0.071,0.14,-0.009,0.149,-0.656,-0.009,0.14,0.475,1,1,1,"ROSSNER, MICHAEL T.","FIND OUT WHAT ANIMALS EAT"
4,23,1,1,0.247,0.228,1.579,0.753,0.14,1.947,-1.807,-1.585,1.947,0.14,0.266,0,1,1,"ROSSNER, MICHAEL T.","WATCH A RAT"
4,24,1,1,1.245,0.51,-0.344,-0.245,0.14,-0.32,0.46,-0.844,-0.32,0.14,0.524,1,1,1,"ROSSNER, MICHAEL T.","FIND OUT WHAT FLOWERS LIVE ON"
4,25,1,1,0.868,0.463,0.194,0.132,0.14,0.421,-0.281,-0.655,0.421,0.14,0.46,1,1,1,"ROSSNER, MICHAEL T.","TALK W/FRIENDS ABOUT PLANTS"
5,1,1,1,1.033,0.279,-0.062,-0.033,-0.774,-0.892,0.117,-0.329,-0.892,-0.774,0.278,1,1,1,"ROSSNER, REBECCA A.","WATCH BIRDS"
5,2,0,0,0.902,0.592,-1.173,-0.902,-0.774,-0.611,-0.164,-1.051,-2.286,0.901,0.597,1,1,0,"ROSSNER, REBECCA A.","READ BOOKS ON ANIMALS"
5,3,1,1,0.6,0.351,0.675,0.4,-0.774,0.279,-1.053,-0.714,0.279,-0.774,0.284,1,1,1,"ROSSNER, REBECCA A.","READ BOOKS ON PLANTS"
5,4,0,0,0.227,0.185,-0.529,-0.227,-0.774,1.802,-2.576,-0.252,-0.656,1.684,0.124,0,1,0,"ROSSNER, REBECCA A.","WATCH GRASS CHANGE"
5,5,1,1,0.086,0.083,3.167,0.914,-0.774,2.189,-2.963,-2.515,2.189,-0.774,0.089,0,1,1,"ROSSNER, REBECCA A.","FIND BOTTLES AND CANS"
5,6,0,0,0.635,0.364,-1.053,-0.635,-0.774,0.164,-0.938,-0.842,-2.106,1.495,0.308,1,1,0,"ROSSNER, REBECCA A.","LOOK UP STRANGE ANIMAL OR PLANT"
5,7,1,1,0.318,0.258,1.344,0.682,-0.774,0.994,-1.768,-1.285,0.994,-0.774,0.231,0,1,1,"ROSSNER, REBECCA A.","WATCH ANIMAL MOVE"
5,8,0,0,0.224,0.186,-0.519,-0.224,-0.774,1.641,-2.415,-0.246,-0.641,1.508,0.141,0,1,0,"ROSSNER, REBECCA A.","LOOK IN SIDEWALK CRACKS"
5,9,0,0,0.39,0.321,-0.688,-0.39,-0.774,0.6,-1.374,-0.428,-1.293,1.118,0.338,0,1,0,"ROSSNER, REBECCA A.","LEARN WEED NAMES"
5,10,1,1,1.357,0.413,-0.556,-0.357,-0.774,-1.57,0.795,-0.777,-1.57,-0.774,0.394,1,1,1,"ROSSNER, REBECCA A.","LISTEN TO BIRD SING"
5,11,1,1,1.202,0.337,-0.349,-0.202,-0.774,-1.372,0.598,-0.475,-1.372,-0.774,0.302,1,1,1,"ROSSNER, REBECCA A.","FIND WHERE ANIMAL LIVES"
5,12,1,1,1.59,0.242,-1.2,-0.59,-0.774,-1.139,0.365,-0.892,-2.238,0.324,0.066,2,1,1,"ROSSNER, REBECCA A.","GO TO MUSEUM"
5,13,1,1,1.092,0.748,-0.106,-0.092,-0.774,-0.896,0.122,-1.412,-0.896,-0.774,0.761,2,1,1,"ROSSNER, REBECCA A.","GROW GARDEN"
5,14,0,0,0.571,0.36,-0.953,-0.571,-0.774,0.294,-1.068,-0.722,-1.901,1.421,0.306,0,1,0,"ROSSNER, REBECCA A.","LOOK AT PICTURES OF PLANTS"
5,15,0,0,0.897,0.475,-1.301,-0.897,-0.774,-0.559,-0.215,-1.223,-2.566,1.233,0.474,1,1,0,"ROSSNER, REBECCA A.","READ ANIMAL STORIES"
5,16,1,1,0.567,0.324,0.76,0.433,-0.774,0.468,-1.243,-0.717,0.468,-0.774,0.232,1,1,1,"ROSSNER, REBECCA A.","MAKE A MAP"
5,17,1,1,0.644,0.401,0.563,0.356,-0.774,0.045,-0.82,-0.75,0.045,-0.774,0.374,1,1,1,"ROSSNER, REBECCA A.","WATCH WHAT ANIMALS EAT"
5,18,2,2,1.807,0.244,0.391,0.193,-0.774,-2.256,1.482,-0.162,-0.979,-2.052,0.514,2,1,2,"ROSSNER, REBECCA A.","GO ON PICNIC"
5,19,2,2,1.675,0.309,0.584,0.325,-0.774,-2.161,1.386,-0.329,-0.502,-2.433,0.411,2,1,2,"ROSSNER, REBECCA A.","GO TO ZOO"
5,20,1,1,0.177,0.156,2.082,0.823,-0.774,1.747,-2.521,-1.795,1.747,-0.774,0.136,0,1,1,"ROSSNER, REBECCA A.","WATCH BUGS"
5,21,1,1,1.016,0.55,-0.022,-0.016,-0.774,-0.804,0.03,-0.8,-0.804,-0.774,0.55,1,1,1,"ROSSNER, REBECCA A.","WATCH BIRD MAKE NEST"
5,22,1,1,0.649,0.422,0.54,0.351,-0.774,-0.009,-0.765,-0.787,-0.009,-0.774,0.409,1,1,1,"ROSSNER, REBECCA A.","FIND OUT WHAT ANIMALS EAT"
5,23,1,1,0.103,0.1,2.828,0.897,-0.774,1.947,-2.721,-2.348,1.947,-0.774,0.112,0,1,1,"ROSSNER, REBECCA A.","WATCH A RAT"
5,24,1,1,0.758,0.511,0.339,0.242,-0.774,-0.32,-0.454,-0.842,-0.32,-0.774,0.525,1,1,1,"ROSSNER, REBECCA A.","FIND OUT WHAT FLOWERS LIVE ON"
5,25,0,0,0.487,0.353,-0.82,-0.487,-0.774,0.421,-1.196,-0.572,-1.614,1.261,0.329,0,1,0,"ROSSNER, REBECCA A.","TALK W/FRIENDS ABOUT PLANTS"
6,1,1,1,1.194,0.287,-0.362,-0.194,-0.203,-0.892,0.689,-0.393,-0.892,-0.203,0.244,1,1,1,"ROSSNER, TR CAT","WATCH BIRDS"
6,2,0,0,1.239,0.56,-1.655,-1.239,-0.203,-0.611,0.408,-1.664,-2.286,1.472,0.591,2,1,0,"ROSSNER, TR CAT","READ BOOKS ON ANIMALS"
6,3,1,1,0.812,0.385,0.303,0.188,-0.203,0.279,-0.481,-0.545,0.279,-0.203,0.364,1,1,1,"ROSSNER, TR CAT","READ BOOKS ON PLANTS"
6,4,1,1,0.352,0.252,1.29,0.648,-0.203,1.802,-2.005,-1.114,1.802,-0.203,0.156,0,1,1,"ROSSNER, TR CAT","WATCH GRASS CHANGE"
6,5,2,2,0.149,0.141,4.933,1.851,-0.203,2.189,-2.391,-4.935,4.02,-2.034,0.155,0,1,2,"ROSSNER, TR CAT","FIND BOTTLES AND CANS"
6,6,1,1,0.854,0.396,0.233,0.146,-0.203,0.164,-0.366,-0.54,0.164,-0.203,0.384,1,1,1,"ROSSNER, TR CAT","LOOK UP STRANGE ANIMAL OR PLANT"
6,7,1,1,0.492,0.352,0.856,0.508,-0.203,0.994,-1.197,-0.942,0.994,-0.203,0.323,0,1,1,"ROSSNER, TR CAT","WATCH ANIMAL MOVE"
6,8,0,0,0.352,0.261,-0.688,-0.352,-0.203,1.641,-1.844,-0.408,-0.641,2.079,0.189,0,1,0,"ROSSNER, TR CAT","LOOK IN SIDEWALK CRACKS"
6,9,1,1,0.607,0.436,0.595,0.393,-0.203,0.6,-0.802,-0.892,0.6,-0.203,0.448,0,1,1,"ROSSNER, TR CAT","LEARN WEED NAMES"
6,10,1,1,1.569,0.324,-0.999,-0.569,-0.203,-1.57,1.367,-1.044,-1.57,-0.203,0.297,2,1,1,"ROSSNER, TR CAT","LISTEN TO BIRD SING"
6,11,1,1,1.392,0.322,-0.69,-0.392,-0.203,-1.372,1.169,-0.645,-1.372,-0.203,0.229,1,1,1,"ROSSNER, TR CAT","FIND WHERE ANIMAL LIVES"
6,12,2,2,1.718,0.202,0.626,0.282,-0.203,-1.139,0.936,-0.331,-0.041,-1.302,0.08,2,1,2,"ROSSNER, TR CAT","GO TO MUSEUM"
6,13,1,1,1.476,0.567,-0.633,-0.476,-0.203,-0.896,0.693,-1.579,-0.896,-0.203,0.813,2,1,1,"ROSSNER, TR CAT","GROW GARDEN"
6,14,0,0,0.793,0.409,-1.24,-0.793,-0.203,0.294,-0.496,-1.11,-1.901,1.992,0.391,1,1,0,"ROSSNER, TR CAT","LOOK AT PICTURES OF PLANTS"
6,15,1,1,1.169,0.467,-0.248,-0.169,-0.203,-0.559,0.356,-0.684,-0.559,-0.203,0.464,1,1,1,"ROSSNER, TR CAT","READ ANIMAL STORIES"
6,16,0,0,0.761,0.351,-1.285,-0.761,-0.203,0.468,-0.671,-1.129,-1.962,2.227,0.309,1,1,0,"ROSSNER, TR CAT","MAKE A MAP"
6,17,1,1,0.888,0.447,0.167,0.112,-0.203,0.045,-0.248,-0.615,0.045,-0.203,0.443,1,1,1,"ROSSNER, TR CAT","WATCH WHAT ANIMALS EAT"
6,18,2,2,1.905,0.116,0.278,0.095,-0.203,-2.256,2.053,-0.083,-0.979,-1.48,0.243,2,1,2,"ROSSNER, TR CAT","GO ON PICNIC"
6,19,2,2,1.814,0.185,0.433,0.186,-0.203,-2.161,1.958,-0.186,-0.502,-1.861,0.247,2,1,2,"ROSSNER, TR CAT","GO TO ZOO"
6,20,1,1,0.288,0.234,1.471,0.712,-0.203,1.747,-1.949,-1.354,1.747,-0.203,0.198,0,1,1,"ROSSNER, TR CAT","WATCH BUGS"
